	genre
0	hip hop
1	country
2	rock
3	country
4	edm
5	edm
6	dance
7	rock
8	edm
9	jazz
10	hip hop
11	rock
12	classical
13	jazz
14	punk
15	hip hop
16	punk
17	pop
18	edm
19	metal
20	pop
21	pop
22	pop
23	hip hop
24	hip hop
25	pop
26	rock
27	edm
28	punk
29	pop
30	pop
31	jazz
32	hip hop
33	hip hop
34	hip hop
35	rock
36	edm
37	rock
38	rock
39	pop
40	pop
41	rock
42	hip hop
43	edm
44	rap
45	rock
46	rock
47	rock
48	techno
49	pop
50	dance
51	folk
52	rock
53	pop
54	jazz
55	pop
56	edm
57	latin
58	classical
59	hip hop
60	jazz
61	r&b
62	rock
63	rock
64	rock
65	jazz
66	hip hop
67	hip hop
68	hip hop
69	hip hop
70	rock
71	rock
72	pop
73	pop
74	hip hop
75	pop
76	pop
77	hip hop
78	dance
79	hip hop
80	hip hop
81	rock
82	rock
83	edm
84	hip hop
85	latin
86	pop
87	rock
88	techno
89	pop
90	classical
91	rock
92	pop
93	hip hop
94	hip hop
95	rock
96	dance
97	punk
98	hip hop
99	rock
100	hip hop
101	hip hop
102	edm
103	techno
104	pop
105	classical
106	classical
107	edm
108	edm
109	edm
110	techno
111	rock
112	pop
113	disco
114	jazz
115	pop
116	hip hop
117	techno
118	disco
119	pop
120	hip hop
121	pop
122	hip hop
123	techno
124	hip hop
125	hip hop
126	rock
127	hip hop
128	rock
129	hip hop
130	rock
131	pop
132	pop
133	pop
134	hip hop
135	pop
136	techno
137	rock
138	latin
139	edm
140	rock
141	techno
142	dance
143	r&b
144	rap
145	country
146	rock
147	disco
148	pop
149	rap
150	pop
151	pop
152	disco
153	rock
154	punk
155	jazz
156	pop
157	rock
158	rock
159	classical
160	rock
161	techno
162	hip hop
163	country
164	hip hop
165	edm
166	rock
167	hip hop
168	pop
169	rock
170	hip hop
171	pop
172	jazz
173	jazz
174	hip hop
175	hip hop
176	hip hop
177	dance
178	hip hop
179	jazz
180	reggae
181	disco
182	disco
183	rock
184	jazz
185	dance
186	hip hop
187	pop
188	techno
189	pop
